type,term_id,name,slug,parent,normalized_name
category,334,survival,survival,,Straight Talk Warhammer
category,4,Switch,switch,,Straight Talk Warhammer
category,1906,Sword Art Online Fatal Bullet,sword-art-online-fatal-bullet,other-games,Sword Art Online Fatal Bullet
category,461,Sword Coast Legends,sword-coast-legends,mmos,Sword Coast Legends
category,2421,Sword Hero,sword-hero,other-games,Supernatural Horror
category,146,Tabletop Games,tabletop-games,,Tangleroot Gorge
category,462,Tabula Rasa,tabula-rasa,mmos,Terra Randoma
category,307,Tactical RPG,tactical-rpg,,Terra Randoma
category,1523,Tales from the Loop,tales-from-the-loop,tabletop-games,Tales From the Loop
category,1481,Tales from the Loop,tales-from-the-loop,,Tales From the Loop
category,1500,Terra Randoma,terra-randoma,other-games,Terra Randoma
category,1518,Terraforming Mars,terraforming-mars,tabletop-games,Terraforming Mars
category,110,terraforming mars,terraforming-mars,,Terraforming Mars
category,1507,The Elder Scrolls Online,the-elder-scrolls-online,mmos,The Elder Scrolls Online
category,1570,The Loot Project,the-loot-project,blockchain,Love in a Time of Corona
category,1941,The Secret World,the-secret-world,mmos,Straight Talk Warhammer
category,2134,THE400 Mini,the400-mini,,Terraforming Mars
category,463,TinyGame2010,tinygame2010,other-games,Test Driven Development
category,464,TIS-100,tis-100,other-games,Test Driven Development
category,16,TIS-100,tis-100,,Test Driven Development
category,465,Torchlight,torchlight,other-games,Test Driven Development
category,12,torchlight,torchlight,,Test Driven Development
category,466,Torchlight 2,torchlight-2,other-games,Test Driven Development
category,390,townscaper,townscaper,,Test Driven Development
category,467,Treasure Abyss,treasure-abyss,facebook-games,Temple of the Ancients
category,410,Trends,trends,,Test Driven Development
category,1734,Turn-based RPGs,turn-based-rpgs,trends,Turn-based Rpgs
category,468,TV Recaps,tv-recaps,general,Terra Randoma
category,1940,Ultima Online,ultima-online,mmos,Unicorn Overlord
category,1,Uncategorized,uncategorized,,Uncategorized
category,1546,Unexplored 2,unexplored-2,other-games,Uncategorized
category,1620,V Rising,v-rising,,Return of the Light
category,1509,Valheim,valheim,other-games,The Veilguard
category,333,valheim,valheim,,The Veilguard
category,469,Valkyria Chronicles,valkyria-chronicles,other-games,Valkyria Chronicles
category,2114,Vandal Hearts,vandal-hearts,other-games,Vandal Hearts
category,470,Vanguard,vanguard,mmos,The Veilguard
