type,term_id,name,slug,parent,normalized_name
category,1941,The Secret World,the-secret-world,mmos,The Secret World
category,2134,THE400 Mini,the400-mini,,THE400 Mini
category,463,TinyGame2010,tinygame2010,other-games,TinyGame2010
category,464,TIS-100,tis-100,other-games,TIS-100
category,16,TIS-100,tis-100,,TIS-100
category,465,Torchlight,torchlight,other-games,Torchlight
category,12,torchlight,torchlight,,Torchlight
category,466,Torchlight 2,torchlight-2,other-games,Torchlight
category,390,townscaper,townscaper,,Townscaper
category,467,Treasure Abyss,treasure-abyss,facebook-games,Treasure Abyss
category,410,Trends,trends,,Trends
category,1734,Turn-based RPGs,turn-based-rpgs,trends,Turn-Based Rpgs
category,468,TV Recaps,tv-recaps,general,TV Recaps
category,1940,Ultima Online,ultima-online,mmos,Ultima Online
category,1,Uncategorized,uncategorized,,Uncategorized
category,1546,Unexplored 2,unexplored-2,other-games,Unexplored 2
category,1620,V Rising,v-rising,,V Rising
category,1509,Valheim,valheim,other-games,Valheim
category,333,valheim,valheim,,Valheim
category,469,Valkyria Chronicles,valkyria-chronicles,other-games,Valkyria Chronicles
category,2114,Vandal Hearts,vandal-hearts,other-games,Vandal Hearts
category,470,Vanguard,vanguard,mmos,Vanguard
category,169,vanguard,vanguard,,Vanguard
category,2110,Vectrex,vectrex,,Vectrex
category,411,Video Game,video-game,trends,Video Game
category,1795,Video game console,video-game-console,trends,Video Game Console
category,412,Video Game Series,video-game-series,trends,Video Game Series
category,302,Visual Novel,visual-novel,,Visual Novel
category,233,visual novel,visual-novel,,Visual Novel
category,471,Warhammer: Age of Reckoning,war,mmos,Warhammer: Age of Reckoning
category,1417,Warhammer: Age of Reckoning,war,,Warhammer: Age of Reckoning
category,1418,Warhammer: Age of Reckoning,warhammer-age-of-reckoning,,Warhammer: Age of Reckoning
category,149,Web Games,web-games,,Web Games
category,472,Web Logging,web-logging,,Web Logging
category,335,Whatcha Playing?,whatcha-playing,,Whatcha Playing?
category,1945,White Knight Chronicles,white-knight-chronicles,other-games,White Knight Chronicles
category,1605,Wildermyth,wildermyth,tactical-rpg,Wildermyth
category,473,Wizard 101,wizard101-mmos,mmos,Wizard101
category,474,Wizardry Online,wizardry-online,mmos,Wizardry Online
category,475,World of Warcraft,world-of-warcraft,mmos,World of Warcraft
category,69,world of warcraft,world-of-warcraft,,World of Warcraft
category,476,World of Warships,world-of-warships,mmos,World of Warships
category,9,world of warships,world-of-warships,,World of Warships
category,1689,Zombie games,zombie-games,trends,Zombie Games
category,1714,2D platformer games,2d-platformer-games,trends,2D Platformer
category,1688,2D platformers,2d-platformers,trends,2D Platformer
category,477,7DRL,7drl,other-games,7DRL
category,478,7SRL,7srl,other-games,7DRL
category,1680,Action Adventure games,action-adventure-games,trends,Action Adventure Games
category,1583,Advent of Code,advent-of-code,general,Advent of Code
category,479,Adventures in Monopoly,adventures-in-monopoly,humor,Adventures in Monopoly
category,480,AdventureVille,adventureville,facebook-games,Adventureville
category,1810,Advertising,advertising,general,Advertising
category,481,Age of Conan,aoc,mmos,Age of Conan
category,482,Aion,aion,mmos,Aion
category,483,Allods Online,allods-online,mmos,Allods Online
category,413,Arcade Game,arcade-game,trends,Arcade Game
category,1820,Ark Survival Evolved,ark-survival-evolved,survival,Ark Survival Evolved
category,484,Armikrog,armikrog,other-games,Armikrog
category,1525,Artisans of Splendent Vale,artisans-of-splendent-vale,tabletop-games,Artisans of Splendent Vale
category,2058,Avalon,avalon,blockchain,Avalon
category,1544,Axie Infinity,axie-infinity,browser-game,Axie Infinity
category,485,Ballpoint Universe,ballpoint-universe,kickstarter,Ballpoint Universe
category,1736,Bandai Wonderswan,bandai-wonderswan,trends,Bandai Wonderswan
category,1674,Basketball,basketball,trends,Basketball
category,486,Battle of the Immortals,battle-of-the-immortals,mmos,Battle of the Immortals
category,487,Battlestar Galactica,battlestar-galactica,sci-fi,Battlestar Galactica
category,488,Besiege,besiege,other-games,Besiege
category,2156,Beyond Shadowgate,beyond-shadowgate,kickstarter,Beyond Shadowgate
category,1937,Black Desert Online,black-desert-online,mmos,Black Desert Online
category,489,Black Prophecy,black-prophecy,mmos,Black Prophecy
category,1520,Car Wars,car-wars,tabletop-games,Car Wars
category,490,Castle Story,castle-story,other-games,Castle Story
category,1699,Cats,cats,trends,Cats
category,491,Champions Online,champions,mmos,Champions Online
category,492,Chess the MMO,chess-the-mmo,mmos,Chess the MMORPG
category,493,Chronicles of Spellborn,chronicles-of-spellborn,mmos,Chronicles of Spellborn
category,494,Cities XL,cities-xl,mmos,Cities XL
category,495,City of Heroes,city-of-heroes,mmos,City of Heroes
category,496,Clone Wars Adventures,clone-wars-adventures,other-games,Clone Wars Adventures
category,497,Code Hero,code-hero,other-games,Code Hero
category,498,College-Ruled Universe,college-ruled-universe,kickstarter,College-Ruled Universe
category,499,Comics,comics,humor,Comic
category,1474,Console game,console-game,trends,Console Game
category,500,Crayon Chronicles,crayon-chronicles,kickstarter,Crayon Chronicles
category,501,Crayon Physics Deluxe,crayon-physics-deluxe,other-games,Crayon Physics Deluxe
category,502,Crypt of the NecroDancer,crypt-of-the-necrodancer,other-games,Crypt of the Necrodancer
category,1907,Cyberpunk 2077,cyberpunk-2077,other-games,Cyberpunk 2077
category,503,D&amp;D 4E,dd-4e,other-games,D&D 4e
category,504,Daily Blogroll,weblog,mmos,Daily Blogroll
category,505,Dark Ages of Camelot,dark-ages-of-camelot,mmos,Dark Ages of Camelot
category,506,Darkfall,darkfall-mmos,mmos,Darkfall
category,507,DC Universe Online,dc-universe-online,mmos,DC Universe Online
category,508,Diablo 3,diablo-3-other-games,other-games,Diablo 3
category,1739,Dinosaur games,dinosaur-games,trends,Dinosaur Games
category,509,Divinity II -- Dragon Knight Saga,divinity-ii-dragon-knight-saga,other-games,Divinity Ii -- Dragon Knight Saga
category,510,Doctor Who,doctor-who,sci-fi,Doctor Who
category,511,Doctor Who Adventures,doctor-who-adventures,other-games,Doctor Who Adventures
category,512,Dragon Age Legends,dragon-age-legends,facebook-games,Dragon Age Legends
category,513,Dragon Age Origins,dragon-age-origins,other-games,Dragon Age Origins
category,514,Dragon Nest,dragon-nest,mmos,Dragon Nest
category,2107,Dragon's Dogma,dragons-dogma,other-games,Dragon's Dogma
category,515,Dragonica Online,dragonica-online,mmos,Dragonica Online
category,516,Dream of Mirror Online,domo,mmos,Dream of Mirror Online
category,2391,Dune Awakening,dune-awakening,mmos,Dune Awakening
category,2208,Dungeon Crawl Classics,dungeon-crawl-classics,tabletop-games,Dungeon Crawl Classics
category,1529,Dungeon Encounters,dungeon-encounters,other-games,Dungeon Encounters
category,517,Dungeon Siege,ds,other-games,Dungeon Siege
category,518,Dungeons &amp; Dragons Online,dungeons-dragons-online,mmos,Dungeons & Dragons Online
category,519,Earth Eternal,earth-eternal,mmos,Earth Eternal
category,520,Earthrise,earthrise,mmos,Earthrise
category,1939,Elite Dangerous,elite-dangerous,mmos,Elite Dangerous
category,1569,EQ Online Adventures,eq-online-adventures,mmos,EverQuest
category,2323,Erenshor,erenshor,mmos,Erenshor
category,521,Eureka,eureka,sci-fi,Eureka
category,522,Euro Truck Simulator 2,euro-truck-simulator-2,other-games,Euro Truck Simulator 2
category,523,EvE Online,eve-online,mmos,EVE Online
category,2267,EverCraft Online,evercraft-online,mmos,Adrullan Online Adventures
category,524,EverQuest,everquest,mmos,EverQuest
category,525,EverQuest 2,everquest-2,mmos,EverQuest
category,526,EverQuest Next,everquest-next,mmos,Everquest
category,1744,Exploration games,exploration-games,trends,Exploration Games
category,527,Fallen Earth,fallen-earth,mmos,Fallen Earth
category,1781,Fanfic,fanfic,general,Fanfic
category,528,Fantasy Earth Zero,fantasy-earth-zero,mmos,Fantasy Earth Zero
category,351,FF1,ff1,final-fantasy,Final Fantasy
category,374,FF3,ff3,final-fantasy,Final Fantasy
category,376,FFXIV,ffxiv,final-fantasy,Final Fantasy
category,1780,Final Fantasy VI,final-fantasy-vi,trends,Final Fantasy
category,1735,Final Fantasy VII,final-fantasy-vii,trends,Final Fantasy
category,529,Final Fantasy XI,final-fantasy-xi,mmos,Final Fantasy
category,1953,Final Fantasy XIII,final-fantasy-xiii,trends,Final Fantasy
category,530,Final Fantasy XIV,final-fantasy-xiv,mmos,Final Fantasy
category,1943,Final Fantasy XVI,final-fantasy-xvi,trends,Final Fantasy
category,1725,First person shooter,first-person-shooter,trends,First Person Shooter
category,531,Fists of Fu,fists-of-fu,mmos,Fists of Fu
category,1526,Flamecraft,flamecraft,tabletop-games,Flamecraft
category,532,Florensia,florensia-mmos,mmos,Florensia
category,1770,Fortnite,fortnite,mmos,Fortnite
category,533,Free Realms,free-realms,mmos,Free Realms
category,534,From Ello,from-ello,general,From Ello
category,535,FTL,ftl,other-games,FTL
category,1796,Gaming convention,gaming-convention,trends,Gaming Convention
category,536,Gatheryn,gatheryn,mmos,Gatheryn
category,537,Gauntlet,gauntlet,other-games,Gauntlet
category,1554,Gladius,gladius,other-games,Gladius
category,538,Glitch,glitch,mmos,Glitch
category,1514,Gloomhaven,gloomhaven,other-games,Gloomhaven
category,539,Go,go,other-games,Go
category,540,Gods &amp; Heroes,gods-heroes,mmos,Gods & Heroes
category,541,GodsWar Online,godswar-online,mmos,Godswar Online
category,542,Godville,godville,other-games,Godville
category,1838,Gotham Knights,gotham-knights,open-world-rpg,Gotham Knights
category,2106,Granblue Fantasy,granblue-fantasy,other-games,Granblue Fantasy
category,543,Gratuitous Space Battles,gratuitous-space-battles,other-games,Gratuitous Space Battles
category,1513,Greedfall,greedfall,other-games,Greedfall
category,544,Grim Dawn,grim-dawn,other-games,Grim Dawn
category,545,Guild Wars,guild-wars,mmos,Guild Wars
category,2034,Guild Wars 2,guild-wars-2,mmos,Guild Wars
category,546,Hearthstone,hearthstone,other-games,Hearthstone
category,547,Hello Kitty Online,hello-kitty,mmos,Hello Kitty Online
category,2044,HeroQuest,heroquest,tabletop-games,HeroQuest
category,548,Herotopia,herotopia,other-games,Herotopia
category,549,HOARD,hoard,other-games,Hoard
category,550,Ingress,ingress,other-games,Ingress
category,1727,Isometric tactical strategy,isometric-tactical-strategy,trends,Isometric Tactical Strategy
category,551,It's a Wipe!,its-a-wipe,other-games,It's a Wipe!
category,1517,Kaiju Wars,kaiju-wars,other-games,Kaiju Wars
category,552,Kerbal Space Program,kerbal-space-program,other-games,Kerbal Space Program
category,2212,Kesmai,kesmai,mmos,Kesmai
category,553,Kingdoms of Amalur: Reckoning,kingdoms-of-alura-reckoning,other-games,Kingdoms of Amalur: Reckoning
category,554,Kung Foo!,kung-foo,mmos,Kung Foo!
category,555,LaTale,latale,mmos,Latale
category,556,Legends of Zork,legends-of-zork,other-games,Legends of Zork
category,557,LEGO Universe,lego-universe,mmos,Lego Universe
category,558,LittleBig Planet,littlebig-planet,other-games,Littlebig Planet
category,559,LittleBigPlanet,littlebigplanet,other-games,Littlebigplanet
category,1522,Lord of the Chords,lord-of-the-chords,tabletop-games,Lord of the Chords
category,560,Lord of the Rings,lord-of-the-rings-online,mmos,Lord of the Rings
category,1936,Lost Ark,lost-ark,mmos,Lost Ark
category,561,Love,love,mmos,Love
category,562,Lucent Heart,lucent-heart,mmos,Lucent Heart
category,563,Mabinogi,mabinogi,mmos,Mabinogi
category,1700,Magic,magic,trends,Magic
category,564,Magical Diary,magical-diary,other-games,Magical Diary
category,2247,Malifaux,malifaux,tabletop-games,Malifaux
category,2158,Manor Lords,manor-lords,other-games,Manor Lords
category,1938,MapleStory,maplestory,mmos,Maplestory
category,1487,Massively multiplayer,massively-multiplayer,trends,Massively Multiplayer
category,565,Metaplace,metaplace,other-games,Metaplace
category,1712,Metroidvania games,metroidvania-games,trends,Metroidvania Games
category,566,Minecraft,minecraft,other-games,Minecraft
category,1502,My Little Scythe,my-little-scythe,tabletop-games,My Little Scythe
category,1521,Mystery Dice,mystery-dice,tabletop-games,Mystery Dice
category,1743,Mystery games,mystery-games,trends,Mystery Games
category,2190,Nemesis,nemesis,tabletop-games,Nemesis
category,567,Neopets,neopets,other-games,Neopets
category,568,Neverwinter Nights,nwn,other-games,Neverwinter Nights
category,569,Nostalgia the Guild,nostalgia-the-guild,everquest,Nostalgia the Guild
category,570,Oblivion,oblivion,other-games,Oblivion
category,1839,Photo Editing,photo-editing,trends,Photo Editing
category,1690,Post-apocalyptic games,post-apocalyptic-games,trends,Post-Apocalyptic Games
category,1740,Prehistoric games,prehistoric-games,trends,Prehistoric Games
category,1472,Programming language,programming-language,trends,Programming Language
category,1742,Psychological Thriller,psychological-thriller,trends,Psychological Thriller
category,1681,Puzzles,puzzles,trends,Puzzles
category,1528,Return to Dark Tower,return-to-dark-tower,tabletop-games,Return to Dark Tower
category,1678,RPG,rpg,trends,RPG
category,1840,Screenshots,screenshots,trends,Screenshots
category,1501,Scythe,scythe,tabletop-games,Scythe
category,1524,Set a Watch,set-a-watch,tabletop-games,Set a Watch
category,571,Shards of Dalaya,shards-of-dalaya,everquest,Shards of Dalaya
category,1713,Side-scrolling games,side-scrolling-games,trends,Side-Scrolling Games
category,1675,Sports,sports,trends,Sports
category,1519,Star Scrappers Orbital,star-scrappers-orbital,tabletop-games,Star Scrappers Orbital
category,1829,Star Trek,star-trek,trends,Star Trek
category,572,Straight Talk Warhammer,straight-talk-warhammer,war,Straight Talk Warhammer
category,1676,Strategy,strategy,trends,Strategy
category,1726,Supernatural Horror,supernatural-horror,trends,Supernatural Horror
category,1469,System Software,system-software,trends,System Software
category,1492,Tabletop game,tabletop-game,trends,Tabletop Game
category,1677,Tactics,tactics,trends,Tactics
category,1757,Text Adventure game,text-adventure-game,trends,Text Adventure Game
category,1468,Topic,topic,trends,Topic
category,2125,Unicorn Overlord,unicorn-overlord,rpg,Unicorn Overlord
category,2028,Baldur's Gate 3,baldurs-gate-3,rpg,Baldur's Gate 3
category,2359,Frosthaven,frosthaven,gloomhaven,Frosthaven
tag,573,1,1,,1
tag,1791,1-4 players,1-4-players,,1-4 Players
tag,574,1.03,103,,1.03
tag,1671,11Sheep,11sheep,,11sheep
tag,575,2,2,,2
tag,217,2020,2020,,2020
tag,1858,2022,2022,,2022
tag,1867,24,24,,24
tag,1603,2D,2d,,2D
tag,1691,2D platformer,2d-platformer,,2D Platformer
tag,1652,2Dark 2C,2dark-2c,,2dark 2c
tag,576,3,3,,3
tag,2224,3-2-1 strategy,3-2-1-strategy,,3-2-1 Strategy
tag,248,38 studios,38-studios,,38 Studios
tag,3,3D Printing,3d-printing-old,,3D Printing
tag,1792,45 minutes,45-minutes,,45 Minutes
tag,2364,4th edition,4th-edition,,4th Edition
tag,577,51,51,,51
tag,578,51/50,5150,,51/50
tag,263,5e,5e,,5e
tag,2057,663333,663333,,663333
tag,17,7 Billion Humans,7-billion-humans,,7 Billion Humans
tag,1665,80s and 90s,80s-and-90s,,80s and 90s
tag,579,a bad excuse,a-bad-excuse,,A Bad Excuse
tag,580,a bit lucky,a-bit-lucky,,A Bit Lucky
tag,2356,a dark room,a-dark-room,,A Dark Room
tag,1927,a realm reborn,a-realm-reborn,,A Realm Reborn
tag,2235,a twist of fate,a-twist-of-fate,,A Twist of Fate
tag,1592,a*,a,,A*
tag,108,abashi,abashi,,Abashi
tag,581,acclaim,acclaim,,Acclaim
tag,2441,ace of aces,ace-of-aces,,Ace of Aces
tag,582,achiever,achiever,,Achiever
tag,2047,act i,act-i,,Act I
tag,583,act iii,act-iii,,Act III
tag,1721,action,action,,Action
tag,1682,Action adventure game,action-adventure-game,,Action Adventure Game
tag,1694,action game,action-game,,Action Game
tag,1804,adam oyebanji,adam-oyebanji,,Adam Oyebanji
tag,584,Add new tag,add-new-tag,,Add New Tag
tag,585,adora,adora,,Adora
tag,1667,Adrian,adrian,,Adrian
tag,1859,advent,advent,,Advent
tag,2094,advent calendar,advent-calendar,,Advent Calendar
tag,2095,AdventCalendar,adventcalendar,,Advent Calendar
tag,1724,adventure,adventure,,Adventure
tag,586,Adventure Company,adventure-company,,Adventure Company
tag,324,adventure game,adventure-game,,Adventure Game
tag,587,adware,adware,,Adware
tag,588,aeria games,aeria-games,,Aeria Games
tag,589,aerosmith,aerosmith,,Aerosmith
tag,590,aethenium,aethenium,,Aethenium
tag,591,against the void,against-the-void,,Against the Void
tag,19,AI,ai,,AI
tag,592,albany,albany,,Albany
tag,1580,album,album,,Album
tag,593,alchemist,alchemist,,Alchemist
tag,594,aldenvault,aldenvault,,Aldenvault
tag,595,alderich,alderich,,Alderich
tag,2222,alf,alf,,Alf
tag,1585,algorithms,algorithms,,Algorithms
tag,596,alice and kev,alice-and-kev,,Alice and Kev
tag,2191,alien,alien,,Alien
tag,2193,alien 3,alien-3,,Alien
tag,2194,alien vs predator,alien-vs-predator,,Alien
tag,2192,aliens,aliens,,Alien
tag,597,all points bulletin,all-points-bulletin,,All Points Bulletin
tag,1922,aloy,aloy,,Aloy
tag,2093,alpha,alpha,,Alpha
tag,340,amazon,amazon,,Amazon
tag,598,ambassador,ambassador,,Ambassador
tag,599,american idol,american-idol,,American Idol
tag,600,american idol tour 2008,american-idol-tour-2008,,American Idol Tour 2008
