type,term_id,name,slug,parent
category,1939,Elite Dangerous,elite-dangerous,mmos
category,1569,EQ Online Adventures,eq-online-adventures,mmos
category,2323,Erenshor,erenshor,mmos
category,521,Eureka,eureka,sci-fi
category,522,Euro Truck Simulator 2,euro-truck-simulator-2,other-games
category,523,EvE Online,eve-online,mmos
category,2267,EverCraft Online,evercraft-online,mmos
category,524,EverQuest,everquest,mmos
category,525,EverQuest 2,everquest-2,mmos
category,526,EverQuest Next,everquest-next,mmos
category,1744,Exploration games,exploration-games,trends
category,527,Fallen Earth,fallen-earth,mmos
category,1781,Fanfic,fanfic,general
category,528,Fantasy Earth Zero,fantasy-earth-zero,mmos
category,351,FF1,ff1,final-fantasy
category,374,FF3,ff3,final-fantasy
category,376,FFXIV,ffxiv,final-fantasy
category,1780,Final Fantasy VI,final-fantasy-vi,trends
category,1735,Final Fantasy VII,final-fantasy-vii,trends
category,529,Final Fantasy XI,final-fantasy-xi,mmos
category,1953,Final Fantasy XIII,final-fantasy-xiii,trends
category,530,Final Fantasy XIV,final-fantasy-xiv,mmos
category,1943,Final Fantasy XVI,final-fantasy-xvi,trends
category,1725,First person shooter,first-person-shooter,trends
category,531,Fists of Fu,fists-of-fu,mmos
category,1526,Flamecraft,flamecraft,tabletop-games
category,532,Florensia,florensia-mmos,mmos
category,1770,Fortnite,fortnite,mmos
category,533,Free Realms,free-realms,mmos
category,534,From Ello,from-ello,general
category,535,FTL,ftl,other-games
category,1796,Gaming convention,gaming-convention,trends
category,536,Gatheryn,gatheryn,mmos
category,537,Gauntlet,gauntlet,other-games
category,1554,Gladius,gladius,other-games
category,538,Glitch,glitch,mmos
category,1514,Gloomhaven,gloomhaven,other-games
category,539,Go,go,other-games
category,540,Gods &amp; Heroes,gods-heroes,mmos
category,541,GodsWar Online,godswar-online,mmos
category,542,Godville,godville,other-games
category,1838,Gotham Knights,gotham-knights,open-world-rpg
category,2106,Granblue Fantasy,granblue-fantasy,other-games
category,543,Gratuitous Space Battles,gratuitous-space-battles,other-games
category,1513,Greedfall,greedfall,other-games
category,544,Grim Dawn,grim-dawn,other-games
category,545,Guild Wars,guild-wars,mmos
category,2034,Guild Wars 2,guild-wars-2,mmos
category,546,Hearthstone,hearthstone,other-games
category,547,Hello Kitty Online,hello-kitty,mmos
category,2044,HeroQuest,heroquest,tabletop-games
category,548,Herotopia,herotopia,other-games
category,549,HOARD,hoard,other-games
category,550,Ingress,ingress,other-games
category,1727,Isometric tactical strategy,isometric-tactical-strategy,trends
category,551,It's a Wipe!,its-a-wipe,other-games
category,1517,Kaiju Wars,kaiju-wars,other-games
category,552,Kerbal Space Program,kerbal-space-program,other-games
category,2212,Kesmai,kesmai,mmos
category,553,Kingdoms of Amalur: Reckoning,kingdoms-of-alura-reckoning,other-games
category,554,Kung Foo!,kung-foo,mmos
category,555,LaTale,latale,mmos
category,556,Legends of Zork,legends-of-zork,other-games
category,557,LEGO Universe,lego-universe,mmos
category,558,LittleBig Planet,littlebig-planet,other-games
category,559,LittleBigPlanet,littlebigplanet,other-games
category,1522,Lord of the Chords,lord-of-the-chords,tabletop-games
category,560,Lord of the Rings,lord-of-the-rings-online,mmos
category,1936,Lost Ark,lost-ark,mmos
category,561,Love,love,mmos
category,562,Lucent Heart,lucent-heart,mmos
category,563,Mabinogi,mabinogi,mmos
category,1700,Magic,magic,trends
category,564,Magical Diary,magical-diary,other-games
category,2247,Malifaux,malifaux,tabletop-games
category,2158,Manor Lords,manor-lords,other-games
category,1938,MapleStory,maplestory,mmos
category,1487,Massively multiplayer,massively-multiplayer,trends
category,565,Metaplace,metaplace,other-games
category,1712,Metroidvania games,metroidvania-games,trends
category,566,Minecraft,minecraft,other-games
category,1502,My Little Scythe,my-little-scythe,tabletop-games
category,1521,Mystery Dice,mystery-dice,tabletop-games
category,1743,Mystery games,mystery-games,trends
category,2190,Nemesis,nemesis,tabletop-games
category,567,Neopets,neopets,other-games
category,568,Neverwinter Nights,nwn,other-games
category,569,Nostalgia the Guild,nostalgia-the-guild,everquest
category,570,Oblivion,oblivion,other-games
category,1839,Photo Editing,photo-editing,trends
category,1690,Post-apocalyptic games,post-apocalyptic-games,trends
category,1740,Prehistoric games,prehistoric-games,trends
category,1472,Programming language,programming-language,trends
category,1742,Psychological Thriller,psychological-thriller,trends
category,1681,Puzzles,puzzles,trends
category,1528,Return to Dark Tower,return-to-dark-tower,tabletop-games
category,1678,RPG,rpg,trends
category,1840,Screenshots,screenshots,trends
category,1501,Scythe,scythe,tabletop-games
category,1524,Set a Watch,set-a-watch,tabletop-games
category,571,Shards of Dalaya,shards-of-dalaya,everquest
category,1713,Side-scrolling games,side-scrolling-games,trends
category,1675,Sports,sports,trends
category,1519,Star Scrappers Orbital,star-scrappers-orbital,tabletop-games
category,1829,Star Trek,star-trek,trends
category,572,Straight Talk Warhammer,straight-talk-warhammer,war
category,1676,Strategy,strategy,trends
category,1726,Supernatural Horror,supernatural-horror,trends
category,1469,System Software,system-software,trends
category,1492,Tabletop game,tabletop-game,trends
category,1677,Tactics,tactics,trends
category,1757,Text Adventure game,text-adventure-game,trends
category,1468,Topic,topic,trends
category,2125,Unicorn Overlord,unicorn-overlord,rpg
category,2028,Baldur's Gate 3,baldurs-gate-3,rpg
category,2359,Frosthaven,frosthaven,gloomhaven
tag,573,1,1,
tag,1791,1-4 players,1-4-players,
tag,574,1.03,103,
tag,1671,11Sheep,11sheep,
tag,575,2,2,
tag,217,2020,2020,
tag,1858,2022,2022,
tag,1867,24,24,
tag,1603,2D,2d,
tag,1691,2D platformer,2d-platformer,
tag,1652,2Dark 2C,2dark-2c,
tag,576,3,3,
tag,2224,3-2-1 strategy,3-2-1-strategy,
tag,248,38 studios,38-studios,
tag,3,3D Printing,3d-printing-old,
tag,1792,45 minutes,45-minutes,
tag,2364,4th edition,4th-edition,
tag,577,51,51,
tag,578,51/50,5150,
tag,263,5e,5e,
tag,2057,663333,663333,
tag,17,7 Billion Humans,7-billion-humans,
tag,1665,80s and 90s,80s-and-90s,
tag,579,a bad excuse,a-bad-excuse,
tag,580,a bit lucky,a-bit-lucky,
tag,2356,a dark room,a-dark-room,
tag,1927,a realm reborn,a-realm-reborn,
tag,2235,a twist of fate,a-twist-of-fate,
tag,1592,a*,a,
tag,108,abashi,abashi,
tag,581,acclaim,acclaim,
tag,2441,ace of aces,ace-of-aces,
tag,582,achiever,achiever,
tag,2047,act i,act-i,
tag,583,act iii,act-iii,
tag,1721,action,action,
tag,1682,Action adventure game,action-adventure-game,
tag,1694,action game,action-game,
tag,1804,adam oyebanji,adam-oyebanji,
tag,584,Add new tag,add-new-tag,
tag,585,adora,adora,
tag,1667,Adrian,adrian,
tag,1859,advent,advent,
tag,2094,advent calendar,advent-calendar,
tag,2095,AdventCalendar,adventcalendar,
tag,1724,adventure,adventure,
tag,586,Adventure Company,adventure-company,
tag,324,adventure game,adventure-game,
tag,587,adware,adware,
tag,588,aeria games,aeria-games,
tag,589,aerosmith,aerosmith,
tag,590,aethenium,aethenium,
tag,591,against the void,against-the-void,
tag,19,AI,ai,
tag,592,albany,albany,
tag,1580,album,album,
tag,593,alchemist,alchemist,
tag,594,aldenvault,aldenvault,
tag,595,alderich,alderich,
tag,2222,alf,alf,
tag,1585,algorithms,algorithms,
tag,596,alice and kev,alice-and-kev,
tag,2191,alien,alien,
tag,2193,alien 3,alien-3,
tag,2194,alien vs predator,alien-vs-predator,
tag,2192,aliens,aliens,
tag,597,all points bulletin,all-points-bulletin,
tag,1922,aloy,aloy,
tag,2093,alpha,alpha,
tag,340,amazon,amazon,
tag,598,ambassador,ambassador,
tag,599,american idol,american-idol,
tag,600,american idol tour 2008,american-idol-tour-2008,
tag,601,amok time,amok-time,
tag,2260,analogue,analogue,
tag,2261,analogue 3d,analogue-3d,
tag,2053,analogue pocket,analogue-pocket,
tag,1799,analogue super nt,analogue-super-nt,
tag,602,anashti sul,anashti-sul,
tag,294,animal crossing new horizons,animal-crossing-new-horizons,
tag,603,animation,animation,
tag,275,anime,anime,
tag,604,anniversary,anniversary,
tag,2161,anno 1404,anno-1404,
tag,1662,anxiety,anxiety,
tag,1857,aoc,aoc,
tag,2068,aoc2023,aoc2023,
tag,605,apb,apb,
tag,606,apocalypse now,apocalypse-now,
tag,607,app,app,
tag,608,appearance,appearance,
tag,609,appearance armor,appearance-armor,
tag,610,april fool,april-fool,
tag,611,aqualung,aqualung,
tag,1562,aquaman,aquaman,
tag,68,aradune,aradune,
tag,612,arasai,arasai,
tag,193,arcade,arcade,
tag,2358,arcade paradise,arcade-paradise,
tag,1775,arcadian atlas,arcadian-atlas,
tag,2278,arcane emissary,arcane-emissary,
tag,613,archer's point,archers-point,
tag,614,architect,architect,
tag,615,archmage,archmage,
tag,616,arena,arena,
tag,352,ares expedition,ares-expedition,
tag,617,armor,armor,
tag,13,arpg,arpg,
tag,401,arris,arris,
tag,618,ars technica,ars-technica,
tag,1558,artflow,artflow,
tag,1559,artflow.ai,artflow-ai,
tag,214,as,as,
tag,215,asmr,asmr,
tag,619,assassin,assassin,
tag,285,assassin&#039;s creed,assassins-creed,
tag,2029,astarion,astarion,
tag,280,asteroids,asteroids,
tag,620,astral magic,astral-magic,
tag,1555,atari,atari,
tag,279,atari 2600,atari-2600,
tag,2285,atlus,atlus,
tag,621,atticus,atticus,
tag,1731,attractive graphics,attractive-graphics,
tag,2447,audiomech,audiomech,
tag,622,audiosurf,audiosurf,
tag,1728,author,author,
tag,623,autostitch,autostitch,
tag,624,avatar,avatar,
tag,2234,avatar the last airbender,avatar-the-last-airbender,
tag,1812,avengers,avengers,
tag,186,avengers beta,avengers-beta,
tag,625,awakenings,awakenings,
tag,409,aws,aws,
tag,2316,axe-o-lot-l,axe-o-lot-l,
tag,2293,azure flame,azure-flame,
tag,1990,babylon 5,babylon-5,
tag,2096,babylonjs,babylonjs,
tag,2157,"Back when ""roguelike"" meant something",back-when-roguelike-meant-something,
tag,2223,backups,backups,
tag,626,backyard monsters,backyard-monsters,
tag,627,balance,balance,
tag,2383,balatro,balatro,
tag,1877,balloon,balloon,
tag,2332,bambu,bambu,
tag,628,bandai,bandai,
tag,2159,banished,banished,
tag,190,banned in denmark,banned-in-denmark,
tag,174,banner of the maid,banner-of-the-maid,
tag,629,bar code,bar-code,
tag,630,bard,bard,
tag,2268,bardwood grove,bardwood-grove,
tag,236,barrow,barrow,
tag,1994,barthandelus,barthandelus,
tag,631,bartle test,bartle-test,
tag,632,bartleby,bartleby,
tag,2405,base44,base44,
tag,2070,basic,basic,
tag,1655,basketball,basketball,
tag,633,bastilla,bastilla,
tag,2128,bastion of chaos,bastion-of-chaos,
tag,634,bastion of thunder,bastion-of-thunder,
tag,2042,bastions,bastions,
tag,1847,batman,batman,
tag,2140,battahl,battahl,
tag,1999,battletech,battletech,
tag,635,baxter,baxter,
tag,636,bazaar,bazaar,
tag,235,bear,bear,
tag,224,bear eat bear world,bear-eat-bear-world,
tag,234,bear we can believe in,bear-we-can-believe-in,
tag,2115,beat saber,beat-saber,
tag,60,beetle adventure racing,beetle-adventure-racing,
tag,158,befallen,befallen,
tag,2145,bell,bell,
tag,2146,bell book and candle,bell-book-and-candle,
tag,2142,bellanoir,bellanoir,
tag,2143,bellanoir libero,bellanoir-libero,
tag,2375,beloved rapture,beloved-rapture,
tag,1594,berlin interpretation,berlin-interpretation,
tag,637,berserker epic,berserker-epic,
tag,1978,Berthandelus,berthandelus,
tag,638,bertoxxulous,bertoxxulous,
tag,2301,best of 2024,best-of-2024,
tag,2141,bestral,bestral,
tag,381,beta,beta,
tag,1879,bethesda,bethesda,
tag,2144,bewitched,bewitched,
tag,2154,beyond shadowgate,beyond-shadowgate,
tag,639,bible,bible,
tag,227,bicycling,bicycling,
tag,2148,big bang theory,big-bang-theory,
tag,640,big ben,big-ben,
tag,641,big surprise,big-surprise,
tag,31,bioware,bioware,
tag,1542,bitcoin,bitcoin,
tag,1833,black adam,black-adam,
tag,1604,black and white,black-and-white,
tag,1653,blaug,blaug,
tag,130,blaugust,blaugust-1,
tag,642,blizzard,blizzard,
tag,643,blog,blog,
tag,644,BLOG ME,blog-me,
tag,645,bloggers,bloggers,
tag,156,blogging,blogging,
tag,2027,bloodmoon ursaluna,bloodmoon-ursaluna,
tag,1993,blue beetle,blue-beetle,
tag,646,blue oyster cult,blue-oyster-cult,
tag,2363,Blue Prince,blue-prince,
tag,1658,bluestacks,bluestacks,
tag,1983,board game,board-game,
tag,2179,boba tea,boba-tea,
tag,647,boc,boc,
tag,2393,boilermaker,boilermaker,
tag,2296,bonaparte,bonaparte,
tag,648,bonus coins weekend,bonus-coins-weekend,
tag,1803,book,book,
tag,649,borg,borg,
tag,1754,Bowser,bowser,
